ProductId,Period,ModelType,RMSE,MAE,MAPE
265,Monthly,GRU,7.72,7.54,248.1
265,Monthly,LSTM,7.57,6.75,114.7
265,Weekly,GRU,3.95,3.2,12553246.14
265,Weekly,LSTM,3.99,3.21,12376719.02
428,Monthly,GRU,4.1,4.1,67.17
428,Monthly,LSTM,4.51,4.16,54.8
428,Weekly,GRU,4.75,2.9,9788251.15
428,Weekly,LSTM,4.77,2.91,9806177.19
826,Monthly,GRU,5.15,3.77,36365868.6
826,Monthly,LSTM,3.6,3.46,22224327.19
826,Weekly,GRU,2.24,2.07,15368700.01
826,Weekly,LSTM,2.24,2.06,15244645.81
956,Monthly,GRU,4.6,4.54,18794306.24
956,Monthly,LSTM,6.62,6.6,36023272.36
956,Weekly,GRU,4.26,2.76,14437229.03
956,Weekly,LSTM,4.27,2.96,16471787.66
998,Monthly,GRU,1.43,1.2,22.73
998,Monthly,LSTM,1.16,1.14,20.17
998,Weekly,GRU,2.46,2.2,14822036.88
998,Weekly,LSTM,2.4,2.04,12806819.46
1121,Monthly,GRU,7.59,5.68,36.19
1121,Monthly,LSTM,8.03,5.87,36.24
1121,Weekly,GRU,3.44,2.73,13673743.1
1121,Weekly,LSTM,3.47,2.99,17153640.19
1270,Monthly,GRU,8.8,7.49,67.76
1270,Monthly,LSTM,8.81,7.32,62.28
1270,Weekly,GRU,3.36,2.5,8168824.86
1270,Weekly,LSTM,3.39,2.65,9969349.12
1528,Monthly,GRU,1.61,1.61,32.15
1528,Monthly,LSTM,0.72,0.72,14.42
1528,Weekly,GRU,2.06,1.95,14940028.62
1528,Weekly,LSTM,2.07,1.97,15354598.7
1959,Monthly,GRU,14.47,14.47,65.77
1959,Monthly,LSTM,14.5,14.5,65.92
1959,Weekly,GRU,3.06,2.3,9878710.76
1959,Weekly,LSTM,3.06,2.29,9749050.12
2124,Monthly,GRU,18.16,18.16,75.68
2124,Monthly,LSTM,20.53,20.53,85.53
2124,Weekly,GRU,3.77,2.91,12069804.37
2124,Weekly,LSTM,3.78,2.96,12504651.01
2234,Monthly,GRU,11.42,11.42,63.47
2234,Monthly,LSTM,13.31,13.31,73.93
2234,Weekly,GRU,3.01,2.44,11575842.16
2234,Weekly,LSTM,2.97,2.3,10288091.13
2380,Monthly,GRU,0.68,0.68,13.54
2380,Monthly,LSTM,1.42,1.42,28.33
2380,Weekly,GRU,2.78,2.25,12896110.25
2380,Weekly,LSTM,2.83,2.38,14561654.09
2647,Monthly,GRU,5.62,5.62,43.26
2647,Monthly,LSTM,7.69,7.69,59.13
2647,Weekly,GRU,2.33,1.9,12923114.42
2647,Weekly,LSTM,2.35,1.9,12826943.7
2797,Monthly,GRU,3.83,3.83,382.86
2797,Monthly,LSTM,2.85,2.85,284.76
2797,Weekly,GRU,4.08,2.43,11727099.67
2797,Weekly,LSTM,4.04,2.27,10558527.56
2923,Monthly,GRU,1.05,1.05,10.53
2923,Monthly,LSTM,5.1,5.1,50.98
2923,Weekly,GRU,3.62,2.81,11707034.03
2923,Weekly,LSTM,3.67,2.92,12758566.03
3464,Monthly,GRU,3.5,3.26,22653605.88
3464,Monthly,LSTM,3.29,3.2,19738073.51
3464,Weekly,GRU,1.7,1.41,9978997.02
3464,Weekly,LSTM,1.7,1.4,9725521.51
3733,Monthly,GRU,8.04,7.93,33285879.8
3733,Monthly,LSTM,8.27,7.93,27946134.5
3733,Weekly,GRU,2.65,2.2,16093707.19
3733,Weekly,LSTM,2.61,1.97,13258544.4
3818,Monthly,GRU,6.62,5.1,46575860.66
3818,Monthly,LSTM,6.1,5.06,42388127.86
3818,Weekly,GRU,3.88,2.72,9771108.49
3818,Weekly,LSTM,3.9,2.87,11655344.05
3966,Monthly,GRU,5.23,4.27,188.34
3966,Monthly,LSTM,4.32,4.09,95.14
3966,Weekly,GRU,2.9,2.22,10872946.58
3966,Weekly,LSTM,2.91,2.27,11545510.09
3982,Monthly,GRU,6.16,6.16,616.11
3982,Monthly,LSTM,2.01,2.01,201.15
3982,Weekly,GRU,2.99,2.13,8935618.44
3982,Weekly,LSTM,2.98,2.07,8395380.56
4025,Monthly,GRU,1.35,1.35,33.71
4025,Monthly,LSTM,0.91,0.91,22.83
4025,Weekly,GRU,1.78,1.77,15895567.49
4025,Weekly,LSTM,1.78,1.77,15875319.67
4066,Monthly,GRU,1.74,1.31,14.73
4066,Monthly,LSTM,4.11,4.05,47.33
4066,Weekly,GRU,2.96,2.34,11938098.4
4066,Weekly,LSTM,2.96,2.37,12361830.74
4342,Monthly,GRU,5.33,5.33,48.45
4342,Monthly,LSTM,5.29,5.29,48.11
4342,Weekly,GRU,3.53,2.44,8233940.07
4342,Weekly,LSTM,3.42,2.53,10180936.7
4387,Monthly,GRU,7.84,7.84,52.3
4387,Monthly,LSTM,11.28,11.28,75.17
4387,Weekly,GRU,3.85,2.89,12980506.97
4387,Weekly,LSTM,3.51,2.56,12081032.92
4536,Monthly,GRU,6.43,6.43,643.44
4536,Monthly,LSTM,4.62,4.62,462.48
4536,Weekly,GRU,2.55,2.03,11942075.06
4536,Weekly,LSTM,2.59,2.1,12734117.92
4539,Monthly,GRU,4.07,3.78,43.19
4539,Monthly,LSTM,4.21,4.02,48.08
4539,Weekly,GRU,3.46,2.63,6181131.67
4539,Weekly,LSTM,3.84,2.59,2097056.48
4570,Monthly,GRU,6.83,6.08,56.69
4570,Monthly,LSTM,8.52,6.09,36.77
4570,Weekly,GRU,3.89,3.03,10433947.01
4570,Weekly,LSTM,3.87,3.02,10503115.06
5052,Monthly,GRU,6.29,6.29,314.33
5052,Monthly,LSTM,4.55,4.55,227.74
5052,Weekly,GRU,3.0,2.3,13439560.91
5052,Weekly,LSTM,3.02,2.33,13412360.45
5160,Monthly,GRU,5.42,4.83,36388140.94
5160,Monthly,LSTM,3.92,3.42,26693603.68
5160,Weekly,GRU,1.86,1.38,8505047.43
5160,Weekly,LSTM,1.92,1.26,6645974.46
5532,Monthly,GRU,0.59,0.59,9.83
5532,Monthly,LSTM,1.24,1.24,20.73
5532,Weekly,GRU,2.52,2.26,15969968.38
5532,Weekly,LSTM,2.47,2.18,14939983.84
5561,Monthly,GRU,9.02,9.02,53.04
5561,Monthly,LSTM,12.56,12.56,73.9
5561,Weekly,GRU,4.52,3.38,9150788.24
5561,Weekly,LSTM,4.39,3.27,8894642.34
5642,Monthly,GRU,4.04,4.04,80.76
5642,Monthly,LSTM,1.96,1.96,39.29
5642,Weekly,GRU,3.46,2.48,9692051.69
5642,Weekly,LSTM,3.51,2.59,10490263.54
5716,Monthly,GRU,2.99,2.18,71.35
5716,Monthly,LSTM,2.12,1.87,34.91
5716,Weekly,GRU,3.17,2.22,7055953.23
5716,Weekly,LSTM,3.21,2.37,8578434.65
5739,Monthly,GRU,6.5,6.05,42081391.86
5739,Monthly,LSTM,5.94,5.82,35189079.66
5739,Weekly,GRU,2.66,2.18,11726744.77
5739,Weekly,LSTM,2.68,2.29,13127114.73
5856,Monthly,GRU,2.66,2.66,108.91
5856,Monthly,LSTM,4.58,4.5,194.39
5856,Weekly,GRU,2.31,1.59,10046164.28
5856,Weekly,LSTM,2.3,1.58,10397766.71
5934,Monthly,GRU,5.37,4.35,37463944.39
5934,Monthly,LSTM,4.45,4.32,26963790.63
5934,Weekly,GRU,2.23,2.0,16747943.32
5934,Weekly,LSTM,2.33,2.15,18333110.47
6174,Monthly,GRU,3.12,3.12,28.38
6174,Monthly,LSTM,7.26,7.26,65.96
6174,Weekly,GRU,3.39,2.33,5876377.63
6174,Weekly,LSTM,3.34,2.39,7206819.21
6780,Monthly,GRU,1.0,1.0,12.45
6780,Monthly,LSTM,1.98,1.98,24.81
6780,Weekly,GRU,2.6,2.08,13361310.97
6780,Weekly,LSTM,2.57,2.02,12724873.54
6835,Monthly,GRU,5.7,5.59,33562987.36
6835,Monthly,LSTM,6.58,6.2,20051711.9
6835,Weekly,GRU,4.37,2.86,8464942.96
6835,Weekly,LSTM,4.37,2.98,9765218.81
7467,Monthly,GRU,3.94,3.94,32.84
7467,Monthly,LSTM,7.48,7.48,62.31
7467,Weekly,GRU,3.54,2.63,11107813.02
7467,Weekly,LSTM,3.52,2.65,11792135.15
7547,Monthly,GRU,10.56,7.71,42.36
7547,Monthly,LSTM,10.24,7.81,47.94
7547,Weekly,GRU,3.1,2.4,10952588.14
7547,Weekly,LSTM,3.07,2.45,11388453.91
7663,Monthly,GRU,5.02,4.5,33650526.92
7663,Monthly,LSTM,5.4,4.71,36742452.18
7663,Weekly,GRU,1.99,1.58,12310452.98
7663,Weekly,LSTM,2.01,1.59,12337873.99
7686,Monthly,GRU,21.8,21.8,77.87
7686,Monthly,LSTM,23.2,23.2,82.85
7686,Weekly,GRU,4.0,3.22,12532591.52
7686,Weekly,LSTM,4.06,3.15,11226458.33
7776,Monthly,GRU,2.73,2.58,27.94
7776,Monthly,LSTM,2.65,2.5,27.05
7776,Weekly,GRU,4.54,3.0,10431599.69
7776,Weekly,LSTM,4.57,2.92,9272836.59
7803,Monthly,GRU,0.82,0.82,11.76
7803,Monthly,LSTM,1.92,1.92,27.46
7803,Weekly,GRU,5.73,3.36,13562418.48
7803,Weekly,LSTM,5.74,3.18,12113905.61
7877,Monthly,GRU,4.87,4.87,40.57
7877,Monthly,LSTM,5.25,5.25,43.71
7877,Weekly,GRU,3.07,2.51,12128441.09
7877,Weekly,LSTM,3.16,2.57,12546467.66
8358,Monthly,GRU,4.8,3.43,339.91
8358,Monthly,LSTM,3.57,3.08,253.38
